Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID version	Gene name
ENSG00000000003	X	99883667	99894988	ENSG00000000003.10	TSPAN6
ENSG00000000005	X	99839799	99854882	ENSG00000000005.5	TNMD
ENSG00000000419	20	49551404	49575092	ENSG00000000419.8	DPM1
ENSG00000000457	1	169818772	169863408	ENSG00000000457.9	SCYL3
ENSG00000000460	1	169631245	169823221	ENSG00000000460.12	C1orf112
ENSG00000000938	1	27938575	27961788	ENSG00000000938.8	FGR
ENSG00000000971	1	196621008	196716634	ENSG00000000971.11	CFH
ENSG00000001036	6	143815948	143832827	ENSG00000001036.9	FUCA2
ENSG00000001084	6	53362139	53481768	ENSG00000001084.6	GCLC
ENSG00000001167	6	41040684	41067715	ENSG00000001167.10	NFYA
ENSG00000001460	1	24683489	24743424	ENSG00000001460.13	STPG1
ENSG00000001461	1	24742284	24799466	ENSG00000001461.12	NIPAL3
ENSG00000001561	6	46097730	46114436	ENSG00000001561.6	ENPP4
ENSG00000001617	3	50192478	50226508	ENSG00000001617.7	SEMA3F
ENSG00000001626	7	117105838	117356025	ENSG00000001626.10	CFTR
ENSG00000001629	7	91875548	92030698	ENSG00000001629.5	ANKIB1
ENSG00000001630	7	91741465	91772266	ENSG00000001630.11	CYP51A1
ENSG00000001631	7	91828283	91875480	ENSG00000001631.10	KRIT1
ENSG00000002016	12	1021243	1099219	ENSG00000002016.12	RAD52
ENSG00000002330	11	64037302	64052176	ENSG00000002330.9	BAD
ENSG00000002549	4	17578815	17609595	ENSG00000002549.8	LAP3
ENSG00000002586	X	2609220	2659350	ENSG00000002586.13	CD99
ENSG00000002587	4	11394774	11431389	ENSG00000002587.5	HS3ST1
ENSG00000002726	7	150521715	150558592	ENSG00000002726.15	AOC1
ENSG00000002745	7	120965421	120981158	ENSG00000002745.8	WNT16
ENSG00000002746	7	43152198	43605600	ENSG00000002746.10	HECW1
ENSG00000002822	7	1855429	2272878	ENSG00000002822.11	MAD1L1
ENSG00000002834	17	37026112	37078023	ENSG00000002834.13	LASP1
ENSG00000002919	17	46180719	46200436	ENSG00000002919.10	SNX11
ENSG00000002933	7	150497491	150502208	ENSG00000002933.3	TMEM176A
ENSG00000003056	12	9092959	9102551	ENSG00000003056.3	M6PR
ENSG00000003096	X	117031776	117251303	ENSG00000003096.9	KLHL13
ENSG00000003137	2	72356367	72375167	ENSG00000003137.4	CYP26B1
ENSG00000003147	7	8152814	8302317	ENSG00000003147.13	ICA1
ENSG00000003249	16	90071273	90086536	ENSG00000003249.9	DBNDD1
ENSG00000003393	2	202565277	202645912	ENSG00000003393.10	ALS2
ENSG00000003400	2	202047604	202094129	ENSG00000003400.10	CASP10
ENSG00000003402	2	201980827	202041410	ENSG00000003402.15	CFLAR
ENSG00000003436	2	188328957	188430487	ENSG00000003436.10	TFPI
ENSG00000003509	2	37458774	37480546	ENSG00000003509.11	NDUFAF7
ENSG00000003756	3	50126341	50156454	ENSG00000003756.12	RBM5
ENSG00000003987	8	17155539	17271037	ENSG00000003987.9	MTMR7
ENSG00000003989	8	17354597	17428082	ENSG00000003989.12	SLC7A2
ENSG00000004059	7	127228399	127231759	ENSG00000004059.6	ARF5
ENSG00000004139	17	26691378	26728065	ENSG00000004139.9	SARM1
ENSG00000004142	17	26673659	26684545	ENSG00000004142.7	POLDIP2
ENSG00000004399	3	129274018	129325661	ENSG00000004399.8	PLXND1
ENSG00000004455	1	33473585	33546597	ENSG00000004455.12	AK2
ENSG00000004468	4	15779898	15854853	ENSG00000004468.8	CD38
ENSG00000004478	12	2904119	2914576	ENSG00000004478.5	FKBP4
ENSG00000004487	1	23345941	23410182	ENSG00000004487.11	KDM1A
ENSG00000004534	3	49977440	50137478	ENSG00000004534.10	RBM6
ENSG00000004660	17	3763609	3798185	ENSG00000004660.10	CAMKK1
ENSG00000004700	12	21621845	21654603	ENSG00000004700.11	RECQL
ENSG00000004766	7	92861653	92988338	ENSG00000004766.11	CCDC132
ENSG00000004776	19	36245469	36248980	ENSG00000004776.7	HSPB6
ENSG00000004777	19	36265434	36279724	ENSG00000004777.14	ARHGAP33
ENSG00000004779	16	23592323	23607677	ENSG00000004779.5	NDUFAB1
ENSG00000004799	7	95212811	95225803	ENSG00000004799.7	PDK4
ENSG00000004809	6	110745890	110797844	ENSG00000004809.9	SLC22A16
ENSG00000004838	3	50378541	50384283	ENSG00000004838.9	ZMYND10
ENSG00000004846	7	20654830	20816658	ENSG00000004846.12	ABCB5
ENSG00000004848	X	25021811	25034065	ENSG00000004848.6	ARX
ENSG00000004864	7	95749532	95951459	ENSG00000004864.9	SLC25A13
ENSG00000004866	7	116593292	116870157	ENSG00000004866.14	ST7
ENSG00000004897	17	45195069	45266788	ENSG00000004897.7	CDC27
ENSG00000004939	17	42325753	42345509	ENSG00000004939.9	SLC4A1
ENSG00000004948	7	93053799	93204042	ENSG00000004948.9	CALCR
ENSG00000004975	17	7128660	7137864	ENSG00000004975.7	DVL2
ENSG00000005001	16	2902728	2908171	ENSG00000005001.5	PRSS22
ENSG00000005007	19	18942747	18979045	ENSG00000005007.8	UPF1
